Cidade,UF,População,Possui_Plano_Municipal,População_sem_Água,População_sem_Esgoto,População_sem_coleta_de_lixo,Domicílios_sujeitos_à_inundações
São Paulo,SP,12396372,Sim,0.00,0.00,0.9,1.20
Rio de Janeiro,RJ,6775561,Sim,0.00,10.05,0.00,19.50
Brasília,DF,3094325,Em elaboração,1.00,8.23,2.23,0.10
Salvador,BA,2900319,Sim,1.17,11.64,3.35,0
Fortaleza,CE,2703391,Sim,23.92,44.05,1.00,0.70
Belo Horizonte,MG,2530701,Sim,5.05,6.02,4.00,2.00
Manaus,AM,2255903,Em elaboração,2.5,74.55,0.5,7.90
Curitiba,PR,1963726,Sim,0.00,0.02,0.00,0
Recife,PE,1661017,Em elaboração,3.57,55.01,0.00,13.00
Goiânia,GO,1555626,Em elaboração,0.99,6.61,0.38,0.10
Belém,PA,1506420,Em elaboração,23.16,82.88,4.00,4.10
Porto Alegre,RS,1492530,Sim,0.00,8.38,0.00,1.20
Guarulhos,SP,1404694,Não,0.00,7.71,0.00,2.90
Campinas,SP,1223237,Não,1.91,5.23,0.00,2.30
São Luís,MA,1115932,Em elaboração,13.59,50.15,0.00,0.10
São Gonçalo,RJ,1098357,Sim,9.92,66.3,0.00,7.70
Maceió,AL,1031597,Em elaboração,13.17,76.27,0.07,2.90
Duque de Caxias,RJ,929449,Em elaboração,11.28,62.51,0.34,13.50
Campo Grande,MS,916001,Sim,0.00,11.88,1.00,37.10
Natal,RN,896708,Em elaboração,5.59,56.22,0.88,0.40
Teresina,PI,871126,Em elaboração,4.96,61.21,3.92,0.10
São Bernardo do Campo,SP,849874,Sim,0.00,1.47,0.99,0.20
João Pessoa,PB,825796,Sim,0.00,16.45,0.00,1.40
Nova Iguaçu,RJ,825388,Sim,22.85,44.07,1.09,7.70
São José dos Campos,SP,737310,Sim,0.00,0.34,1.03,0.30
Santo André,SP,723889,Sim,0.00,0.00,0.00,3.60
Ribeirão Preto,SP,720116,Sim,0.27,0.69,0.00,0
Jaboatão dos Guararapes,PE,711330,Não,19.99,78.36,1.59,6.20
Uberlândia,MG,706597,Sim,0.00,1.76,0.93,0
Osasco,SP,701428,Sim,0.00,0.00,0.00,1.50
Sorocaba,SP,695328,Sim,1.51,1.78,0.00,0.20
Contagem,MG,673849,Sim,13.65,18.68,0.00,10.40
Aracaju,SE,672614,Em elaboração,1.97,44.76,0.00,1.60
Feira de Santana,BA,624107,Em elaboração,10.12,44.63,8.27,3.30
Cuiabá,MT,623614,Sim,1.87,23.57,3.51,0.50
Joinville,SC,604708,Sim,0.00,60.13,0.00,18.70
Aparecida de Goiânia,GO,601844,Em elaboração,20.81,41.31,0.00,--
Londrina,PR,580870,Sim,0.01,0.02,1.01,0
Juiz de Fora,MG,577532,Sim,4.04,5.33,0.3,1.60
Porto Velho,RO,548952,Em elaboração,73.95,94.2,21.00,0.40
Ananindeua,PA,540410,Em elaboração,66.21,68.69,1.00,11.00
Serra,ES,536765,Sim,4.59,21.17,0.69,1.00
Caxias do Sul,RS,523716,Em elaboração,2.3,10.9,0.00,0.20
Macapá,AP,522357,Em elaboração,63.4,89.45,0.00,0.30
Niterói,RJ,516981,Sim,0.00,4.45,0.00,5.00
Florianópolis,SC,516524,Sim,0.00,34.29,0.00,1.30
Belford Roxo,RJ,515239,Sim,0.00,56.61,30.00,33.90
Campos dos Goytacazes,RJ,514643,Sim,2.19,13.74,1.38,47.60
Vila Velha,ES,508655,Sim,2.44,37.87,0.49,0
Mauá,SP,481725,Sim,26.7,7.09,0.00,0.10
São João de Meriti,RJ,473385,Sim,0.00,39.68,0.00,1.40
São José do Rio Preto,SP,469173,Em elaboração,0.00,6.07,0.00,0
Mogi das Cruzes,SP,455587,Em elaboração,8.53,13.73,4.17,18.20
Betim,MG,450024,Em elaboração,11.55,21.89,1.12,0
Boa Vista,RR,436591,Sim,2.3,7.94,2.29,0
Maringá,PR,436472,Sim,0.01,0.02,1.8,0
Santos,SP,433991,Sim,0.00,0.07,0.00,5.30
Diadema,SP,429550,Não,0.00,0.00,0.00,0.30
Jundiaí,SP,426935,Em elaboração,0.93,1.77,4.3,0
Rio Branco,AC,419452,Em elaboração,39.27,77.33,3.00,2.10
Montes Claros,MG,417478,Sim,16.08,14.57,0.97,0.10
Campina Grande,PB,413830,Sim,0.00,5.74,8.00,0.30
Piracicaba,SP,410275,Sim,0.00,0.00,0.00,4.30
Carapicuíba,SP,405375,Sim,0.00,15.42,0.00,1.70
Anápolis,GO,396526,Em elaboração,2.03,20.5,4.13,0.10
Olinda,PE,393734,Não,0.00,53.95,0.16,0.30
Cariacica,ES,386495,Sim,8.65,61.67,1.00,0.70
Bauru,SP,381706,Sim,0.00,0.00,0.00,0
Itaquaquecetuba,SP,379082,Sim,0.00,26.78,0.00,1.10
São Vicente,SP,370839,Sim,9.28,21.41,0.19,2.60
Vitória,ES,369534,Sim,1.96,12.72,0.00,0.40
Caruaru,PE,369343,Sim,0.00,44.69,0.00,2.00
Caucaia,CE,368918,Sim,37.82,63.61,10.82,0
Blumenau,SC,366418,Sim,0.42,53.93,2.00,15.30
Petrolina,PE,359372,Não,0.00,16.23,13.00,0.20
Ponta Grossa,PR,358838,Sim,0.01,0.02,1.00,0
Franca,SP,358539,Em elaboração,0.00,0.00,1.76,0
Canoas,RS,349728,Sim,0.00,48.26,0.00,2.50
Pelotas,RS,343826,Em elaboração,0.00,38.91,2.02,0.10
Vitória da Conquista,BA,343643,Em elaboração,2.27,17.07,10.47,0.10
Ribeirão das Neves,MG,341415,Sim,19.18,28.91,0.73,0.20
Uberaba,MG,340277,Sim,0.2,1.5,1.37,0.10
Paulista,PE,336919,Em elaboração,0.00,45.79,0.00,6.90
Praia Grande,SP,336454,Sim,8.57,24.99,0.00,0.70
Cascavel,PR,336073,Sim,0.01,0.01,2.00,0
São José dos Pinhais,PR,334620,Sim,0.01,15.56,0.00,0.10
Guarujá,SP,324977,Em elaboração,17.6,30.00,0.00,45.00
Taubaté,SP,320820,Sim,0.00,0.00,0.00,0.10
Palmas,TO,313349,Sim,1.14,9.39,0.00,0
Limeira,SP,310783,Sim,2.98,2.98,2.98,0
Camaçari,BA,309208,Sim,4.46,54.52,6.15,0
Santarém,PA,308339,Sim,49.39,95.88,14.01,6.90
Petrópolis,RJ,307144,Sim,2.96,15.29,0.52,1.40
Mossoró,RN,303792,Em elaboração,6.5,48.53,1.25,5.30
Suzano,SP,303397,Em elaboração,0.00,0.00,0.00,5.30
Taboão da Serra,SP,297528,Sim,0.00,0.00,0.00,2.10
Várzea Grande,MT,290383,Em elaboração,1.85,70.5,17.35,0
Sumaré,SP,289875,Sim,1.18,1.18,0.00,0.40
Marabá,PA,287664,Sim,67.11,99.27,13.09,4.10
Gravataí,RS,285564,Sim,4.76,58.59,0.00,0.90
Santa Maria,RS,285159,Sim,4.86,37.1,0.00,4.50
Governador Valadares,MG,282164,Sim,0.66,3.15,3.94,10.10
Barueri,SP,279704,Sim,0.00,0.00,0.00,0.20
Embu das Artes,SP,279264,Sim,0.00,18.73,0.00,0.70
Juazeiro do Norte,CE,278264,Sim,23.77,75.86,2.97,0.30
Volta Redonda,RJ,274925,Sim,0.05,1.09,0.05,0
Parnamirim,RN,272490,Em elaboração,0.00,93.45,0.00,0.10
Ipatinga,MG,267333,Sim,14.96,7.8,0.00,0.10
Macaé,RJ,266136,Sim,8.98,10.51,1.87,0.20
Indaiatuba,SP,260690,Sim,3.65,4.61,1.01,0
Imperatriz,MA,259980,Sim,12.4,69.83,0.00,3.10
Foz do Iguaçu,PR,257971,Sim,0.01,0.01,0.00,1.10
Cotia,SP,257882,Sim,0.00,40.77,0.00,0
Viamão,RS,257330,Sim,6.94,94.03,2.8,0
São Carlos,SP,256915,Sim,4.00,4.00,0.04,1.10
São José,SC,253705,Em elaboração,0.00,51.9,0.00,0
Colombo,PR,249277,Sim,0.01,24.69,0.00,0
Magé,RJ,247741,Não,80.17,94.87,5.5,40.50
Novo Hamburgo,RS,247303,Em elaboração,3.2,92.25,0.00,4.70
Rio Verde,GO,247259,Sim,10.14,13.2,7.3,0
Itaboraí,RJ,244416,Sim,78.96,79.39,3.77,0.30
Americana,SP,244370,Sim,0.00,0.00,0.47,0
Itapevi,SP,244131,Sim,0.00,27.87,0.00,5.30
Sete Lagoas,MG,243950,Sim,0.47,3.57,0.00,0.30
Divinópolis,MG,242505,Sim,5.62,14.76,2.58,3.20
Marília,SP,242249,Sim,0.00,0.00,4.49,0
Araraquara,SP,240542,Sim,3.02,2.97,2.1,0
São Leopoldo,RS,240378,Sim,0.35,82.62,0.4,1.30
Rondonópolis,MT,239613,Em elaboração,0.00,3.81,0.55,--
Hortolândia,SP,237570,Sim,0.00,0.00,0.00,0
Jacareí,SP,237119,Sim,0.41,1.38,0.00,4.90
Arapiraca,AL,234309,Em elaboração,4.74,98.15,0.00,0
Cabo Frio,RJ,234077,Sim,2.31,19.88,10.00,4.60
Presidente Prudente,SP,231953,Sim,0.00,0.00,0.00,0
Maracanaú,CE,230986,Em elaboração,40.02,67.36,0.69,0.30
Dourados,MS,227990,Em elaboração,8.59,14.1,7.89,0.50
Chapecó,SC,227587,Sim,2.6,59.75,8.4,10.00
Itajaí,SC,226617,Sim,2.00,71.84,0.00,81.00
Águas Lindas de Goiás,GO,222850,Em elaboração,3.21,53.81,0.15,0
Santa Luzia,MG,221705,Sim,23.74,32.02,0.00,25.50
Juazeiro,BA,219544,Sim,0.51,14.35,8.76,0.20
Criciúma,SC,219393,Sim,0.00,65.75,0.00,1.30
Parauapebas,PA,218787,Em elaboração,11.06,84.97,4.00,--
Luziânia,GO,214645,Em elaboração,7.75,79.19,7.97,0.30
Itabuna,BA,214123,Sim,0.05,18.27,4.41,30.20
Rio Grande,RS,212881,Sim,3.95,68.24,0.00,--
Sobral,CE,212437,Sim,2.49,4.31,0.81,1.60
Alvorada,RS,212352,Sim,0.00,64.12,0.00,3.30
Cachoeiro de Itapemirim,ES,212172,Sim,0.00,0.00,4.69,--
Cabo de Santo Agostinho,PE,210796,Não,7.87,87.5,9.32,0.80
Angra dos Reis,RJ,210171,Sim,13.66,44.86,2.68,9.90
Rio Claro,SP,209548,Em elaboração,0.4,0.5,0.00,0.60
Passo Fundo,RS,206103,Sim,2.55,60.33,0.00,1.40
Castanhal,PA,205667,Não,78.53,99.27,0.00,2.70
Lauro de Freitas,BA,204669,Em elaboração,1.72,57.32,2.01,10.20
Araçatuba,SP,199210,Não,1.93,3.34,5.00,0.90
Ferraz de Vasconcelos,SP,198661,Sim,0.00,13.56,4.49,18.30
Santa Bárbara d'Oeste,SP,195278,Sim,0.8,1.59,0.44,--
Nova Friburgo,RJ,191664,Sim,12.6,15.59,2.43,7.40
Nossa Senhora do Socorro,SE,187733,Não,8.46,67.68,0.00,0.30
Araguaína,TO,186245,Sim,2.9,68.04,5.02,0.10
Teresópolis,RJ,185820,Sim,10.71,--,0.00,0.50
Barra Mansa,RJ,185237,Sim,1.00,10.55,0.02,4.10
Jaraguá do Sul,SC,184579,Sim,3.72,15.03,0.26,8.60
Ibirité,MG,184030,Não,17.48,32.71,8.68,1.60
Guarapuava,PR,183755,Sim,0.01,5.29,8.57,3.20
São José de Ribamar,MA,180345,Em elaboração,77.71,90.76,39.01,10.00
Linhares,ES,179755,Sim,0.00,25.33,4.49,2.40
Itapecerica da Serra,SP,179574,Sim,1.27,47.76,4.77,0.60
Francisco Morato,SP,179372,Não,0.26,50.51,0.56,2.60
Palhoça,SC,178679,Em elaboração,8.00,84.36,0.00,0
Itu,SP,177150,Sim,11.79,15.92,0.00,0
Mesquita,RJ,177016,Em elaboração,0.00,49.23,0.00,0.30
Valparaíso de Goiás,GO,175720,Não,1.06,48.2,0.00,0
Bragança Paulista,SP,172346,Sim,0.00,8.72,0.03,0.30
Pindamonhangaba,SP,171885,Sim,0.00,0.00,0.00,0
Timon,MA,171317,Sim,6.8,96.82,14.19,0.20
Poços de Caldas,MG,169838,Não,0.00,0.00,0.00,0.20
Maricá,RJ,167668,Sim,63.25,95.47,0.00,0
Itapetininga,SP,167106,Sim,0.00,4.05,0.00,0
Caxias,MA,166159,Em elaboração,18.75,94.52,9.73,0.80
Teixeira de Freitas,BA,164290,Sim,7.67,44.11,1.39,0.90
Nilópolis,RJ,162893,Em elaboração,0.00,49.83,0.00,7.70
São Caetano do Sul,SP,162763,Sim,0.00,0.00,0.00,2.70
Abaetetuba,PA,160439,Em elaboração,87.04,--,28.84,0.90
Camaragibe,PE,159945,Não,20.63,98.89,0.00,2.70
Rio das Ostras,RJ,159529,Em elaboração,30.98,72.57,3.47,0.20
Franco da Rocha,SP,158438,Sim,1.63,32.32,0.28,0.20
Barreiras,BA,158432,Em elaboração,4.15,28.09,0.00,0
Ilhéus,BA,157639,Não,8.13,38.42,10.00,5.00
Paranaguá,PR,157378,Sim,3.62,11.58,3.62,0.40
Lages,SC,157158,Sim,1.66,57.71,3.92,4.20
Jequié,BA,156277,Não,9.08,19.41,5.00,18.30
Patos de Minas,MG,154641,Não,13.02,14.99,7.13,0.70
Pouso Alegre,MG,154293,Em elaboração,12.69,12.69,8.44,3.80
Mogi Guaçu,SP,154146,Sim,5.06,7.91,5.06,0
Parnaíba,PI,153863,Não,-3.01,48.24,5.76,5.40
Jaú,SP,153463,Sim,3.1,3.1,0.00,2.40
Alagoinhas,BA,153023,Sim,2.86,63.93,21.58,--
Porto Seguro,BA,152529,Em elaboração,22.89,37.99,18.00,--
Queimados,RJ,152311,Não,9.33,61.5,0.00,0.10
Botucatu,SP,149718,Sim,0.00,0.00,0.00,0.10
Balneário Camboriú,SC,149227,Sim,0.00,5.00,0.00,0.30
Sinop,MT,148960,Sim,17.11,40.79,17.11,0
Araucária,PR,148522,Sim,0.01,10.57,2.37,1.00
Atibaia,SP,145378,Sim,8.98,25.9,0.95,3.30
Santana de Parnaíba,SP,145073,Sim,0.00,40.25,0.00,0.30
Toledo,PR,144601,Sim,0.01,6.32,2.00,0.10
Sapucaia do Sul,RS,142508,Sim,0.37,90.96,0.00,20.30
Garanhuns,PE,141347,Em elaboração,0.00,86.62,11.57,0
Teófilo Otoni,MG,141269,Sim,30.02,37.27,0.9,9.80
Cametá,PA,140814,Não,3.14,--,41.73,--
Brusque,SC,140597,Sim,0.00,--,0.00,19.90
Vitória de Santo Antão,PE,140389,Sim,22.21,72.35,69.81,11.10
Barbacena,MG,139061,Sim,8.14,17.03,5.08,0.30
Santa Rita,PB,138093,Não,11.3,96.77,0.00,--
Sabará,MG,137877,Sim,23.39,36.97,0.00,28.40
Varginha,MG,137608,Sim,7.95,9.34,3.27,0
Apucarana,PR,137438,Em elaboração,0.01,10.14,5.64,0
Simões Filho,BA,137117,Em elaboração,12.17,53.82,8.84,--
Araras,SP,136739,Sim,5.38,1.4,0.69,0.30
Itaguaí,RJ,136547,Em elaboração,28.24,71.04,5.00,0
Araruama,RJ,136109,Sim,4.19,22.69,0.00,0
Marituba,PA,135812,Em elaboração,67.87,89.51,0.00,0.10
São Félix do Xingu,PA,135732,Em elaboração,98.26,--,30.01,1.10
Campo Largo,PR,135678,Sim,0.94,31.27,13.77,0
Pinhais,PR,134788,Sim,0.00,0.00,0.00,7.70
São Mateus,ES,134629,Sim,15.00,45.81,2.95,0
Crato,CE,133913,Sim,0.56,70.85,30.19,0.50
Resende,RJ,133244,Sim,3.52,4.92,0.00,1.20
Valinhos,SP,133169,Sim,6.00,9.98,0.00,0.10
Cubatão,SP,132521,Em elaboração,15.55,45.86,0.00,2.40
Santa Cruz do Sul,RS,132271,Sim,11.14,79.61,0.00,0.90
Cachoeirinha,RS,132144,Sim,0.00,15.74,0.00,0
Trindade,GO,132006,Sim,6.35,30.15,4.19,0
Vespasiano,MG,131849,Em elaboração,15.69,20.19,11.00,0.90
Itapipoca,CE,131687,Em elaboração,59.25,80.32,22.54,0.80
Maranguape,CE,131677,Em elaboração,48.42,90.95,10.00,0.20
Ji-Paraná,RO,131026,Sim,30.51,98.68,10.08,5.90
Conselheiro Lafaiete,MG,130584,Sim,16.9,25.82,0.00,1.60
Bragança,PA,130122,Em elaboração,86.43,--,20.08,3.50
Barcarena,PA,129333,Não,63.65,84.17,38.14,0.80
Guarapari,ES,128504,Em elaboração,11.99,40.02,0.39,31.10
Sertãozinho,SP,128432,Sim,1.18,1.18,0.00,0.40
Jandira,SP,127734,Em elaboração,0.00,17.88,0.00,1.10
Uruguaiana,RS,126766,Sim,6.39,13.85,2.61,0.90
Arapongas,PR,126545,Não,0.01,18.49,0.00,0
Birigui,SP,126094,Em elaboração,0.00,0.00,66.69,0
Formosa,GO,125705,Não,9.38,11.31,8.06,0
Paço do Lumiar,MA,125265,Não,23.39,68.15,28.16,0
Ribeirão Pires,SP,125238,Sim,9.16,25.64,0.00,9.90
Caraguatatuba,SP,125194,Sim,16.25,29.2,0.00,0
Três Lagoas,MS,125137,Sim,5.59,6.54,4.64,17.60
Santana,AP,124808,Sim,58.16,98.87,7.02,32.30
Votorantim,SP,124468,Sim,3.81,4.42,3.81,6.80
Colatina,ES,124283,Sim,0.54,12.19,11.98,5.80
Várzea Paulista,SP,124269,Em elaboração,2.72,7.06,0.00,0.40
Itatiba,SP,124254,Sim,6.67,14.71,0.00,0.70
Tatuí,SP,124134,Sim,0.00,0.64,0.81,0.50
Barretos,SP,123546,Não,0.00,0.00,3.05,0
Codó,MA,123368,Em elaboração,11.51,90.78,31.34,0.80
Guaratinguetá,SP,123192,Sim,2.25,8.12,0.00,1.20
Catanduva,SP,123114,Sim,2.53,2.53,0.8,0.10
Bento Gonçalves,RS,123090,Sim,7.65,99.43,1.00,0
Itabira,MG,121717,Sim,3.1,7.74,0.68,0
Bagé,RS,121518,Em elaboração,16.29,33.03,0.00,0.10
Senador Canedo,GO,121447,Sim,2.01,96.8,0.39,0
Almirante Tamandaré,PR,121420,Sim,0.01,40.57,1.71,20.00
Salto,SP,120779,Sim,0.00,2.99,0.00,0.30
Igarassu,PE,119690,Em elaboração,25.78,95.9,0.00,5.10
Novo Gama,GO,119649,Em elaboração,2.77,65.54,2.71,0
Poá,SP,119221,Sim,0.00,0.00,0.00,2.40
Paulo Afonso,BA,119213,Em elaboração,14.28,64.2,9.91,--
Araguari,MG,118361,Sim,0.00,0.00,6.57,0.10
Ubá,MG,117995,Sim,18.5,26.83,8.29,28.30
Altamira,PA,117320,Não,57.91,57.91,15.12,0
Piraquara,PR,116852,Em elaboração,0.01,10.92,27.26,4.00
Tucuruí,PA,116605,Sim,5.21,--,4.82,3.80
Parintins,AM,116439,Em elaboração,3.81,--,31.5,18.80
Passos,MG,115970,Em elaboração,5.13,6.2,5.13,0
Paragominas,PA,115838,Sim,15.33,89.32,14.97,0.20
Eunápolis,BA,115360,Não,6.81,89.05,6.77,0.40
Ourinhos,SP,115139,Sim,0.00,2.58,1.00,0.10
São Lourenço da Mata,PE,114910,Em elaboração,14.12,69.94,30.38,--
Paulínia,SP,114508,Sim,0.00,0.00,0.00,0.10
Açailândia,MA,113783,Não,-7.7,98.61,2.45,7.90
Umuarama,PR,113416,Em elaboração,0.01,0.01,11.23,0.30
Catalão,GO,113091,Sim,2.00,36.77,6.44,0
Corumbá,MS,112669,Não,12.51,46.67,5.00,5.90
Santa Cruz do Capibaribe,PE,111812,Não,30.73,60.07,15.04,--
Tailândia,PA,111554,Sim,87.02,--,55.78,0
Ariquemes,RO,111148,Sim,15.3,97.83,14.39,0.60
Coronel Fabriciano,MG,110709,Sim,19.15,22.39,0.00,13.70
Muriaé,MG,109997,Sim,7.48,7.48,7.48,23.30
Patos,PB,108766,Em elaboração,0.00,86.64,8.06,2.00
Araxá,MG,108403,Sim,6.72,6.64,0.00,0.20
Nova Serrana,MG,108241,Em elaboração,22.36,26.44,12.00,0.50
Cambé,PR,108126,Sim,0.01,0.01,2.98,0
Tangará da Serra,MT,107631,Sim,1.79,76.34,9.00,0
São Pedro da Aldeia,RJ,107556,Sim,2.31,19.88,0.00,0
Erechim,RS,107368,Sim,5.76,--,3.14,0
Tubarão,SC,107143,Sim,0.00,73.45,0.00,18.50
Itumbiara,GO,106845,Em elaboração,4.21,4.21,4.24,6.80
Japeri,RJ,106296,Em elaboração,8.00,--,5.00,13.50
Lagarto,SE,106015,Sim,6.25,93.75,5.67,0
Ituiutaba,MG,105818,Sim,4.16,4.16,2.66,0.10
Assis,SP,105768,Em elaboração,0.00,0.00,2.00,0.20
Lavras,MG,105756,Em elaboração,10.5,13.9,2.17,50.00
Leme,SP,105273,Sim,2.06,2.06,0.00,0.10
Bacabal,MA,105094,Não,20.55,95.4,22.15,2.40
Aracruz,ES,104942,Sim,9.05,20.73,4.71,1.10
São Gonçalo do Amarante,RN,104919,Sim,-16.03,62.54,0.88,0.70
Vilhena,RO,104517,Sim,4.35,--,5.23,0
Itaperuna,RJ,104354,Em elaboração,16.87,--,8.01,4.30
Itanhaém,SP,104351,Sim,4.08,53.36,0.00,0
Breves,PA,104280,Não,75.35,--,50.24,5.70
Itacoatiara,AM,104046,Não,0.87,--,33.03,8.10
Caieiras,SP,104044,Sim,2.2,21.4,0.00,0
Fazenda Rio Grande,PR,103750,Em elaboração,0.01,0.01,0.72,0.30
Mairiporã,SP,103645,Sim,41.45,75.53,12.61,0
Iguatu,CE,103633,Sim,14.82,84.37,17.54,6.80
Jataí,GO,103221,Sim,8.66,9.12,3.00,35.20
Santo Antônio de Jesus,BA,103204,Não,17.39,78.69,12.84,0
Itaituba,PA,101541,Em elaboração,91.43,--,36.97,--
Barra do Piraí,RJ,101139,Sim,25.12,47.25,1.14,4.50
Abreu e Lima,PE,100698,Não,12.01,76.64,1.00,17.80
Manacapuru,AM,99613,Sim,28.72,--,15.00,21.40
Ipojuca,PE,99101,Em elaboração,33.65,82.03,5.19,6.10
Sarandi,PR,98888,Sim,0.85,50.42,0.85,0.70
Guaíba,RS,98331,Sim,2.24,78.07,0.00,3.10
Valença,BA,97873,Sim,14.00,27.00,19.63,48.80
Itajubá,MG,97782,Em elaboração,16.28,22.17,8.71,27.10
Bayeux,PB,97519,Não,21.78,92.22,--,--
Nova Lima,MG,97378,Sim,7.4,77.36,2.18,4.40
Balsas,MA,96951,Não,10.26,--,22.64,0.40
Itabaiana,SE,96839,Sim,2.48,74.55,12.23,0
Votuporanga,SP,96106,Sim,0.00,0.00,2.8,0.20
Campo Mourão,PR,96102,Em elaboração,0.01,0.01,5.31,0
Caçapava,SP,95752,Sim,0.00,1.48,2.00,2.00
Pará de Minas,MG,95616,Sim,0.00,0.58,0.00,0.20
Cáceres,MT,95339,Sim,18.01,92.96,10.84,0
Ponta Porã,MS,95320,Em elaboração,21.09,35.13,18.75,0.80
Itapeva,SP,95241,Sim,3.3,15.5,0.00,0.10
Caldas Novas,GO,95183,Em elaboração,11.17,21.87,0.00,0
Sorriso,MT,94941,Em elaboração,0.00,29.83,12.26,0
Paracatu,MG,94539,Sim,19.23,24.85,2.98,0.20
Itaúna,MG,94455,Sim,0.15,4.41,0.00,0.80
Mogi Mirim,SP,94098,Sim,6.43,11.6,1.31,0.10
Francisco Beltrão,PR,93308,Em elaboração,0.01,15.37,0.33,4.90
Caratinga,MG,93124,Sim,25.75,39.7,45.6,3.20
São Roque,SP,93076,Sim,30.11,52.3,0.00,0.20
Ubatuba,SP,92819,Sim,22.1,65.16,0.00,--
Luís Eduardo Magalhães,BA,92671,Em elaboração,8.84,35.91,0.00,2.40
Arujá,SP,92453,Em elaboração,0.00,25.51,3.99,0
São João da Boa Vista,SP,92315,Sim,0.00,0.00,3.99,--
Patrocínio,MG,92116,Sim,0.00,0.00,1.48,0
São Cristóvão,SE,92090,Sim,-18.64,71.4,17.47,5.80
Manhuaçu,MG,92074,Sim,0.00,0.00,18.52,--
Saquarema,RJ,91938,Sim,6.42,26.06,3.79,--
Avaré,SP,91792,Em elaboração,0.00,0.87,3.04,0
São Sebastião,SP,91637,Sim,24.9,39.58,0.00,7.80
Planaltina,GO,91345,Sim,4.29,5.61,1.47,0
Timóteo,MG,91268,Sim,13.4,13.29,0.15,0.30
São João del Rei,MG,90897,Sim,0.01,-7.02,63.7,--
Santa Inês,MA,89927,Em elaboração,51.55,--,5.75,0
Cruzeiro do Sul,AC,89760,Em elaboração,49.46,--,14.22,25.40
Lorena,SP,89532,Sim,0.00,0.00,2.86,1.40
Paranavaí,PR,89454,Em elaboração,0.01,0.01,4.73,0
Quixadá,CE,88899,Em elaboração,49.61,84.29,15.63,28.30
Barra do Corda,MA,88895,Não,61.4,--,--,--
Gurupi,TO,88428,Sim,1.18,45.32,0.03,--
Candeias,BA,87820,Não,9.54,53.2,--,--
Serra Talhada,PE,87467,Em elaboração,0.00,21.42,22.66,1.10
Camboriú,SC,87179,Sim,5.02,--,0.00,34.30
Coari,AM,86713,Sim,87.53,--,58.48,0
Cacoal,RO,86416,Em elaboração,21.19,43.26,16.45,1.20
Campo Limpo Paulista,SP,86407,Sim,19.55,35.28,0.00,0
Redenção,PA,86326,Não,51.19,94.66,7.27,0.20
São Bento do Sul,SC,86317,Sim,1.46,67.52,3.63,2.70
Lajeado,RS,86005,Sim,0.37,99.00,0.00,2.00
Navegantes,SC,85734,Sim,0.9,--,5.21,2.90
Pacatuba,CE,85647,Em elaboração,38.96,59.56,1.28,6.00
Unaí,MG,85461,Não,16.04,27.61,20.43,0
Guanambi,BA,85353,Não,20.26,48.48,20.64,1.20
Gravatá,PE,85309,Não,0.00,79.62,12.08,2.40
Araripina,PE,85301,Não,27.54,56.28,57.52,0.60
Carpina,PE,85131,Não,0.31,--,0.00,0
Cianorte,PR,84980,Em elaboração,0.01,31.25,0.00,0.10
Pato Branco,PR,84779,Em elaboração,0.01,0.01,5.91,1.60
Moju,PA,84251,Não,91.65,--,43.03,0
Pinheiro,MA,84160,Sim,74.64,--,40.59,10.40
Matão,SP,84069,Em elaboração,0.00,0.00,1.84,0.10
Ijuí,RS,84041,Sim,9.19,80.34,0.00,0
Seropédica,RJ,83841,Em elaboração,34.45,75.14,3.58,0.90
Dias d'Ávila,BA,83705,Sim,2.35,54.2,0.84,0
Esteio,RS,83352,Não,0.14,60.87,0.00,--
Cruzeiro,SP,82895,Sim,0.00,2.55,2.55,0.60
Macaíba,RN,82828,Sim,38.06,96.93,11.09,0.50
Três Rios,RJ,82468,Em elaboração,1.15,1.53,0.57,--
Quixeramobim,CE,82455,Em elaboração,30.14,--,27.23,--
Serrinha,BA,81693,Sim,3.32,91.24,8.19,0.60
Aquiraz,CE,81581,Em elaboração,72.39,85.01,0.00,0
Cachoeira do Sul,RS,81552,Sim,13.44,63.47,14.17,5.10
Vinhedo,SP,81516,Sim,3.05,11.42,3.14,0.20
Curvelo,MG,81085,Em elaboração,14.29,25.85,2.84,0
Alfenas,MG,80973,Sim,13.98,15.95,2.68,0
João Monlevade,MG,80903,Sim,0.00,0.00,0.45,1.10
Jacobina,BA,80749,Sim,17.81,92.15,17.00,14.60
Viana,ES,80735,Sim,20.58,62.02,8.26,4.60
Chapadinha,MA,80705,Sim,48.89,--,56.74,0.30
Telêmaco Borba,PR,80588,Em elaboração,0.01,10.86,0.00,0.50
Três Corações,MG,80561,Sim,18.83,22.04,3.00,4.50
Sapiranga,RS,80514,Sim,8.85,98.9,2.58,0.30
Goiana,PE,80345,Em elaboração,31.43,92.44,0.43,--
Ibiúna,SP,80062,Sim,48.71,80.53,50.04,0
Caçador,SC,80017,Sim,10.05,--,0.00,1.40
Viçosa,MG,79910,Sim,4.00,17.00,2.00,1.50
Senhor do Bonfim,BA,79813,Sim,8.85,93.61,22.65,1.60
Russas,CE,79550,Em elaboração,53.11,83.21,5.72,0
Cajamar,SP,79034,Sim,0.00,6.52,--,2.60
Lins,SP,78978,Em elaboração,0.00,0.00,2.16,0.10
