Cidade,UF,População,Possui Plano Municipal,População sem Água,População sem Esgoto,População sem coleta de lixo,Domicílios sujeitos à inundações
Comodoro,MT,21249,Sim,0.32,--,0.29,0.00
Quiterianópolis,CE,21246,Não,0.79,--,0.44,0.00
Anagé,BA,21229,Em elaboração,0.81,--,0.76,0.01
Nova Olinda do Maranhão,MA,21228,Em elaboração,0.68,--,0.30,0.00
Bananeiras,PB,21220,Não,0.79,--,--,--
Crisópolis,BA,21219,Não,0.57,--,0.57,--
Vertentes,PE,21172,Não,0.26,--,0.30,0.00
Itatinga,SP,21139,Sim,0.16,0.17,0.00,0.00
Arroio do Meio,RS,21121,Sim,0.22,--,0.00,0.12
Pinhalzinho,SC,21103,Sim,0.05,--,0.17,0.00
Paulo Ramos,MA,21092,Em elaboração,0.92,--,0.46,0.07
São Francisco do Guaporé,RO,21088,Sim,0.93,--,0.49,0.00
Ibicaraí,BA,21083,Não,0.00,--,0.07,0.07
São Felipe,BA,21083,Não,0.53,--,0.62,0.00
Campestre,MG,21052,Sim,0.46,0.47,0.33,0.00
Mirador,MA,21045,Não,0.90,--,0.43,--
Catarina,CE,21041,Não,0.64,0.89,0.53,0.00
Itaobim,MG,20997,Sim,0.20,0.66,0.25,0.00
Lambari,MG,20995,Não,0.22,0.24,0.28,0.03
Alagoa Nova,PB,20992,Não,0.57,--,--,--
Barroso,MG,20981,Sim,0.17,0.04,0.04,0.35
Junqueirópolis,SP,20978,Sim,0.18,0.18,0.18,0.00
Santa Bárbara,BA,20971,Não,0.44,--,0.36,0.00
Pindoretama,CE,20964,Em elaboração,0.44,--,0.40,0.00
Butiá,RS,20963,Sim,0.05,--,--,0.02
Cruzeiro do Oeste,PR,20962,Não,0.00,0.18,0.02,0.00
Bastos,SP,20952,Não,0.09,0.09,0.16,0.00
Valença do Piauí,PI,20940,Em elaboração,0.02,--,0.12,0.00
Silvânia,GO,20938,Em elaboração,0.33,0.33,0.01,0.00
Araçoiaba,PE,20936,Sim,0.71,--,0.21,0.01
Serro,MG,20915,Sim,0.40,0.59,0.12,0.00
Bombinhas,SC,20889,Sim,0.00,0.84,0.00,0.03
Santo Antônio do Içá,AM,20889,Sim,--,--,--,--
Abadiânia,GO,20873,Não,0.03,0.33,0.00,--
Atalaia do Norte,AM,20868,Não,0.59,--,0.27,0.32
Wenceslau Guimarães,BA,20862,Não,0.48,--,0.66,0.14
Santo Anastácio,SP,20855,Sim,0.05,0.06,0.07,0.00
Nova Olímpia,MT,20820,Em elaboração,0.00,--,--,0.03
Ubiratã,PR,20809,Sim,0.00,0.51,0.15,0.00
Governador Mangabeira,BA,20800,Em elaboração,0.48,--,0.42,0.00
Cocalzinho de Goiás,GO,20771,Sim,0.17,--,0.63,0.00
Envira,AM,20748,Em elaboração,0.23,--,0.37,0.11
Riacho das Almas,PE,20744,Não,0.41,0.13,0.30,0.08
Piratini,RS,20743,Sim,0.42,--,0.00,0.00
Floresta do Araguaia,PA,20742,Em elaboração,--,--,--,--
São João Batista,MA,20736,Não,0.90,--,--,--
Belém do São Francisco,PE,20730,Em elaboração,0.19,0.81,0.42,0.00
São João do Piauí,PI,20720,Em elaboração,0.12,--,0.28,0.00
Cotriguaçu,MT,20717,Em elaboração,0.97,--,0.66,0.00
Medina,MG,20701,Em elaboração,0.26,0.32,0.28,--
Vazante,MG,20692,Sim,0.23,0.31,0.05,0.01
Tibagi,PR,20688,Sim,0.16,0.39,0.04,0.00
Jaboticatubas,MG,20683,Sim,0.41,0.61,0.35,0.02
Maraú,BA,20664,Não,0.81,--,0.43,0.00
Itapiúna,CE,20653,Não,0.66,0.53,0.27,0.10
Cachoeirinha,PE,20618,Em elaboração,0.00,0.32,0.20,0.08
Araruna,PB,20610,Não,0.66,0.69,0.42,0.00
Abaré,BA,20594,Não,0.40,0.68,--,--
Caraúbas,RN,20588,Em elaboração,0.16,--,0.30,0.00
Paranapanema,SP,20588,Sim,0.24,0.37,0.11,0.01
Paulistana,PI,20583,Em elaboração,0.21,0.99,--,--
Brasnorte,MT,20571,Sim,0.02,--,0.03,0.01
Guaratinga,BA,20565,Em elaboração,0.53,--,--,--
Jaguaruna,SC,20547,Sim,0.24,--,--,0.00
Monte Azul,MG,20544,Não,0.40,0.94,0.43,0.01
Regente Feijó,SP,20523,Sim,0.00,0.00,0.08,0.00
Muzambinho,MG,20522,Em elaboração,0.24,0.07,0.10,0.00
Nova Brasilândia D'Oeste,RO,20504,Em elaboração,0.66,0.90,0.58,0.00
Beruri,AM,20503,Sim,0.49,--,0.61,0.00
Ibirubá,RS,20474,Sim,0.21,--,0.21,0.04
Baixa Grande,BA,20431,Em elaboração,0.41,0.84,0.60,0.01
Coronel Vivida,PR,20430,Sim,0.00,0.46,0.00,0.01
Aragarças,GO,20410,Em elaboração,0.03,--,0.04,0.00
São José de Piranhas,PB,20406,Sim,0.20,0.50,0.20,0.37
Novo Airão,AM,20395,Não,0.09,--,0.08,0.02
Itororó,BA,20394,Não,--,--,0.09,0.06
Cerqueira César,SP,20391,Não,0.01,0.07,0.10,0.00
Tanhaçu,BA,20383,Não,0.57,0.76,0.44,0.01
Cândido Mendes,MA,20376,Em elaboração,0.82,--,0.36,0.00
Santo Antônio do Sudoeste,PR,20354,Não,0.12,0.46,0.00,0.02
Jijoca de Jericoacoara,CE,20351,Sim,0.74,0.90,0.35,0.00
Padre Paraíso,MG,20346,Não,0.46,0.51,0.36,0.02
Cuité,PB,20331,Não,1.00,--,0.21,0.02
Uruçuca,BA,20312,Em elaboração,0.15,0.86,0.20,0.18
Itajuípe,BA,20309,Não,0.00,0.00,0.56,0.13
Riachão,MA,20288,Não,0.49,--,--,--
Chorozinho,CE,20286,Em elaboração,0.69,--,0.26,0.02
Turmalina,MG,20280,Sim,0.23,0.40,0.21,0.00
Água Branca,AL,20263,Em elaboração,0.36,--,0.74,0.00
Porto Real,RJ,20254,Sim,0.07,0.10,0.00,0.00
Magalhães de Almeida,MA,20228,Em elaboração,-0.22,--,0.41,0.00
Barra da Estiva,BA,20198,Não,0.00,0.50,--,--
Icapuí,CE,20183,Em elaboração,0.00,--,0.69,0.00
Cantagalo,RJ,20163,Sim,0.29,0.00,0.00,0.10
Taquarana,AL,20162,Não,0.59,0.91,0.36,0.00
Porto Real do Colégio,AL,20158,Não,--,--,--,--
Sonora,MS,20158,Em elaboração,0.23,--,0.09,0.00
Plácido de Castro,AC,20147,Em elaboração,0.57,0.91,--,0.01
Ipanema,MG,20133,Sim,0.22,0.23,0.20,0.02
Hidrolândia,CE,20126,Sim,0.56,--,0.22,0.01
Campos Belos,GO,20124,Sim,0.07,0.11,0.02,0.00
Pacaraima,RR,20108,Em elaboração,0.57,--,0.57,0.00
Alpinópolis,MG,20059,Sim,0.24,0.27,0.19,0.00
Salgado,SE,20051,Sim,0.37,--,0.51,0.01
Buri,SP,20050,Em elaboração,0.08,0.15,0.05,0.01
Capoeiras,PE,20048,Sim,0.57,--,0.40,--
Pindobaçu,BA,20048,Em elaboração,0.00,0.84,0.05,0.08
Boa Vista do Ramos,AM,20040,Não,0.51,--,0.50,0.03
Madalena,CE,20031,Não,0.40,--,0.55,--
Rio Verde de Mato Grosso,MS,20025,Em elaboração,0.15,0.84,0.14,0.00
Divino,MG,20020,Sim,0.49,0.55,0.44,0.01
Rubiataba,GO,20012,Em elaboração,0.18,0.21,0.15,0.00
Santa Vitória,MG,19997,Sim,0.19,0.01,0.10,0.00
Ibicoara,BA,19990,Não,0.37,0.72,0.01,0.00
Afrânio,PE,19981,Não,0.43,0.50,0.50,--
Umirim,CE,19976,Não,0.59,--,0.41,0.00
Maracás,BA,19973,Não,0.22,--,--,0.00
Remígio,PB,19973,Não,1.00,--,0.42,0.00
Itarantim,BA,19937,Sim,0.18,--,0.30,--
Major Isidoro,AL,19923,Não,0.58,--,0.45,--
Lajinha,MG,19914,Sim,0.38,0.50,0.05,0.23
Xapuri,AC,19866,Em elaboração,0.48,--,--,--
Alhandra,PB,19865,Em elaboração,0.17,0.93,0.04,0.05
Ubaíra,BA,19860,Em elaboração,0.55,0.74,0.28,0.11
Palmeirândia,MA,19840,Não,0.83,--,--,--
Santa Luzia do Pará,PA,19839,Não,0.94,--,0.60,0.08
Simonésia,MG,19834,Sim,0.69,0.00,0.50,0.01
Buriti dos Lopes,PI,19832,Em elaboração,0.20,--,0.00,0.00
Andirá,PR,19823,Em elaboração,0.06,0.44,0.06,0.00
Riachão do Dantas,SE,19813,Não,0.38,--,0.42,0.00
Borda da Mata,MG,19809,Não,0.31,0.32,0.07,0.03
Pariquera-Açu,SP,19797,Sim,0.23,0.32,0.32,0.20
Rodrigues Alves,AC,19767,Sim,0.72,--,0.47,0.50
Campina Verde,MG,19759,Não,0.32,0.35,0.25,0.00
Carmópolis de Minas,MG,19756,Sim,0.00,0.00,0.00,0.00
Marechal Thaumaturgo,AC,19727,Em elaboração,0.73,--,0.72,0.10
Castelo do Piauí,PI,19716,Sim,0.28,--,0.22,0.00
Alto Araguaia,MT,19714,Sim,0.02,0.95,0.03,0.00
Morros,MA,19708,Não,0.84,--,0.50,--
Pastos Bons,MA,19693,Sim,0.01,--,0.32,0.00
Presidente Olegário,MG,19680,Não,0.30,0.33,0.36,0.00
Carnaíba,PE,19666,Em elaboração,0.27,0.59,0.38,0.03
Antas,BA,19659,Não,0.50,0.39,0.35,0.00
Mâncio Lima,AC,19643,Em elaboração,0.40,0.43,0.13,0.00
Olho d'Água das Cunhãs,MA,19616,Não,0.91,--,--,0.00
Pauini,AM,19616,Não,--,--,--,--
Umburanas,BA,19573,Não,0.55,0.78,--,--
Tejuçuoca,CE,19551,Em elaboração,0.78,--,0.62,0.00
Cajari,MA,19521,Em elaboração,0.92,--,0.74,0.37
Papanduva,SC,19521,Sim,0.49,--,0.49,--
Miracatu,SP,19511,Sim,0.37,0.46,0.49,0.01
Pitimbu,PB,19478,Sim,0.75,--,0.31,--
Ampére,PR,19466,Sim,0.00,0.25,0.23,--
Três Barras,SC,19455,Sim,0.00,0.98,0.00,0.19
Pirapora do Bom Jesus,SP,19453,Não,0.15,0.45,--,--
Horizontina,RS,19446,Sim,0.21,--,0.00,0.00
Sengés,PR,19441,Sim,0.11,0.39,0.07,0.06
Formosa da Serra Negra,MA,19425,Em elaboração,--,--,--,--
Rio Bananal,ES,19398,Sim,0.62,0.67,0.33,0.13
Quitandinha,PR,19388,Sim,0.58,0.91,0.36,0.07
Wenceslau Braz,PR,19358,Sim,0.02,0.39,0.10,0.00
Trairão,PA,19344,Não,--,--,0.69,0.07
Farias Brito,CE,19330,Sim,0.72,--,0.30,0.03
Utinga,BA,19330,Não,0.30,--,0.37,0.00
Caiapônia,GO,19304,Em elaboração,0.24,0.27,0.27,0.00
Varzelândia,MG,19290,Não,0.52,0.92,0.35,0.01
Águas Formosas,MG,19285,Em elaboração,0.24,0.96,0.27,0.05
Iati,PE,19284,Não,--,--,--,--
Cantá,RR,19257,Não,0.51,--,0.84,0.00
Costa Marques,RO,19255,Em elaboração,0.81,--,0.48,0.01
Passagem Franca,MA,19253,Não,--,--,--,--
Baependi,MG,19249,Em elaboração,0.29,0.21,0.00,0.01
Dormentes,PE,19246,Não,0.58,0.74,0.56,0.00
Guareí,SP,19244,Sim,0.35,0.58,0.06,0.11
Ibirama,SC,19238,Em elaboração,0.00,0.84,0.00,0.00
Jaicós,PI,19233,Não,0.53,--,0.32,0.06
Itanhém,BA,19231,Não,0.30,--,0.17,0.00
Serrita,PE,19226,Não,0.38,0.59,0.34,0.00
Presidente Sarney,MA,19217,Em elaboração,0.75,--,--,--
Otacílio Costa,SC,19201,Sim,0.04,0.76,0.00,0.04
Capanema,PR,19172,Não,0.17,0.49,0.00,0.00
Jaguaripe,BA,19162,Em elaboração,0.47,--,0.48,0.00
Carmo,RJ,19161,Sim,--,--,0.20,0.04
Júlio de Castilhos,RS,19159,Sim,0.18,--,0.00,0.00
Fátima do Sul,MS,19152,Em elaboração,0.12,0.70,--,0.00
Porto Acre,AC,19141,Em elaboração,0.79,--,0.48,0.20
Viradouro,SP,19133,Em elaboração,0.00,0.00,0.03,0.00
Matipó,MG,19098,Sim,0.27,0.27,0.00,--
Ituaçu,BA,19095,Não,0.64,0.67,--,--
São Raimundo das Mangabeiras,MA,19090,Não,0.38,--,0.28,0.00
Chopinzinho,PR,19083,Sim,0.08,0.29,0.27,0.04
Contenda,PR,19082,Sim,0.08,0.37,0.10,0.50
Aroeiras,PB,19081,Não,0.68,--,0.27,0.00
Porciúncula,RJ,19068,Em elaboração,0.25,0.92,0.22,0.67
Japaratuba,SE,19067,Não,0.21,0.92,0.52,0.04
Terra Santa,PA,19063,Em elaboração,0.09,--,0.38,0.02
Macarani,BA,19056,Não,0.10,--,0.28,0.01
Tonantins,AM,19038,Em elaboração,0.48,--,0.48,0.01
Camocim de São Félix,PE,19032,Não,0.20,--,0.00,0.00
Caconde,SP,19031,Sim,0.31,0.31,0.32,0.47
Conceição,PB,19030,Não,0.30,--,0.19,0.02
Barão de Grajaú,MA,19026,Em elaboração,0.47,--,0.47,--
Ervália,MG,19019,Não,0.47,--,--,0.00
Guaranésia,MG,19014,Em elaboração,0.14,0.06,0.03,0.00
Cabaceiras do Paraguaçu,BA,19010,Não,0.31,0.98,0.73,0.00
Epitaciolândia,AC,18979,Sim,0.39,--,0.30,0.12
Itapororoca,PB,18978,Em elaboração,0.37,--,0.37,0.01
Montanha,ES,18954,Não,0.26,0.89,0.25,0.10
Monte Azul Paulista,SP,18928,Em elaboração,0.01,0.02,0.06,0.00
Ipaba,MG,18926,Em elaboração,0.26,0.10,0.02,0.02
Antonina,PR,18919,Sim,0.00,--,0.25,0.12
Águas de Lindóia,SP,18908,Sim,0.00,0.00,0.01,0.01
Alumínio,SP,18903,Não,0.16,0.39,0.00,0.01
Ribeirópolis,SE,18891,Em elaboração,0.02,--,0.05,0.00
Augustinópolis,TO,18870,Em elaboração,0.13,0.88,0.26,0.00
Fronteira,MG,18866,Sim,0.25,0.31,0.07,0.00
Nazaré Paulista,SP,18866,Sim,0.58,0.88,0.11,0.00
Pocinhos,PB,18848,Em elaboração,0.23,0.44,0.30,0.00
Cocos,BA,18835,Não,0.00,--,--,--
Venturosa,PE,18835,Sim,0.40,0.65,0.30,0.00
Areia Branca,SE,18825,Sim,0.20,0.00,0.50,0.04
Garuva,SC,18816,Sim,0.11,--,0.02,0.01
Pirapemas,MA,18814,Não,0.60,--,--,--
São José dos Quatro Marcos,MT,18788,Sim,0.23,0.88,0.00,0.05
São Gabriel,BA,18785,Não,0.09,--,--,--
Cafelândia,PR,18783,Sim,0.00,0.04,0.09,0.00
Cruz Machado,PR,18772,Não,0.62,0.97,0.60,0.35
São Benedito do Rio Preto,MA,18769,Não,0.73,--,0.36,--
São João do Soter,MA,18746,Em elaboração,0.00,--,0.61,0.01
Governador Edison Lobão,MA,18740,Em elaboração,0.03,--,0.57,0.00
Picuí,PB,18737,Sim,0.34,0.46,0.13,--
Bacuri,MA,18726,Não,0.82,--,0.36,0.15
Cariús,CE,18700,Sim,0.79,--,0.33,--
Santo Antônio do Amparo,MG,18697,Não,0.12,0.12,0.00,0.01
Neópolis,SE,18688,Sim,0.21,--,0.12,0.00
Mendes,RJ,18681,Sim,0.04,0.04,0.01,0.01
Rio Claro,RJ,18677,Sim,0.34,0.25,0.11,0.02
Cairu,BA,18666,Não,0.47,0.87,0.31,0.00
Ubaitaba,BA,18647,Não,0.12,--,--,0.10
Juquiá,SP,18627,Não,0.27,0.43,0.20,0.01
Itirapina,SP,18610,Sim,0.13,0.14,0.00,0.00
Mirangaba,BA,18603,Sim,0.67,0.86,0.35,0.02
Colina,SP,18601,Em elaboração,0.10,0.10,0.07,0.00
São Luís Gonzaga do Maranhão,MA,18600,Sim,0.71,--,--,--
Cesário Lange,SP,18595,Sim,0.12,0.31,0.00,0.00
Cafarnaum,BA,18585,Não,0.37,--,--,--
Mundo Novo,MS,18578,Em elaboração,0.11,--,0.11,0.00
Taió,SC,18576,Sim,0.27,--,0.29,0.40
Malacacheta,MG,18556,Sim,0.36,0.42,0.37,0.03
Mairi,BA,18535,Não,0.40,--,0.41,--
Varjota,CE,18520,Em elaboração,0.39,--,0.04,0.00
Carlos Chagas,MG,18516,Em elaboração,0.31,0.39,0.11,0.11
Pio IX,PI,18492,Não,0.57,--,--,--
Boa Vista do Tupim,BA,18491,Não,0.40,0.63,0.37,0.04
Mucajaí,RR,18482,Em elaboração,0.33,0.42,0.11,0.00
Cariré,CE,18470,Em elaboração,0.72,0.90,0.30,0.00
Batalha,AL,18440,Em elaboração,0.42,0.60,0.19,0.00
Lagoa do Carro,PE,18429,Não,0.35,--,0.01,--
Juazeirinho,PB,18422,Em elaboração,0.52,--,0.46,0.02
Ibipeba,BA,18421,Não,0.15,--,0.15,--
Mirante do Paranapanema,SP,18415,Sim,0.39,0.48,0.41,0.00
Inhapi,AL,18398,Em elaboração,0.63,--,0.54,0.00
Solonópole,CE,18389,Sim,0.02,--,0.49,0.00
Querência,MT,18386,Não,0.00,--,0.54,0.00
Formoso do Araguaia,TO,18358,Sim,0.20,--,0.25,--
Indiaroba,SE,18337,Sim,0.56,--,0.47,0.00
Jucurutu,RN,18335,Sim,0.16,0.79,--,0.01
Correntes,PE,18327,Sim,0.20,--,0.35,--
Campo do Brito,SE,18325,Não,0.14,--,0.50,0.00
Banabuiú,CE,18313,Não,0.18,--,0.49,0.04
Estrela de Alagoas,AL,18304,Não,0.62,--,0.77,0.00
Paraibuna,SP,18302,Sim,0.25,0.52,0.37,0.06
Maraã,AM,18298,Sim,--,--,--,--
Luz,MG,18297,Sim,0.14,0.00,0.10,0.00
Reriutaba,CE,18279,Não,0.69,--,--,--
Ladainha,MG,18272,Em elaboração,0.71,0.75,--,0.00
Sapucaia,RJ,18270,Não,0.24,0.35,0.00,0.02
Buerarema,BA,18269,Em elaboração,0.18,--,0.18,0.01
Jussara,GO,18266,Em elaboração,0.16,0.17,--,--
Matelândia,PR,18266,Em elaboração,0.03,0.31,0.28,0.00
Sítio Novo,MA,18237,Não,--,--,0.73,0.00
Tartarugalzinho,AP,18217,Em elaboração,0.87,--,0.34,0.50
Rio Maria,PA,18208,Em elaboração,--,--,0.38,--
São Caetano de Odivelas,PA,18207,Sim,0.77,0.59,0.48,0.00
Croatá,CE,18201,Sim,0.74,0.93,0.18,--
Messias,AL,18201,Em elaboração,0.35,--,--,--
Arroio Grande,RS,18185,Sim,0.13,0.96,0.03,0.02
Ingá,PB,18184,Em elaboração,0.35,--,0.13,0.07
Cristinápolis,SE,18181,Em elaboração,0.17,--,0.01,0.00
Itacarambi,MG,18175,Em elaboração,0.33,0.69,0.04,0.00
Lagoa Formosa,MG,18168,Em elaboração,0.00,0.00,0.17,0.00
Presidente Médici,RO,18165,Não,0.40,0.98,0.40,0.00
São Vicente Ferrer,PE,18150,Sim,0.50,--,0.09,0.14
Conchas,SP,18138,Não,0.22,0.30,0.07,0.00
Jaguaretama,CE,18133,Em elaboração,0.63,0.99,0.53,0.00
Una,BA,18108,Em elaboração,0.38,0.91,0.00,0.04
Elias Fausto,SP,18095,Não,0.10,0.13,0.00,0.00
Morro da Fumaça,SC,18095,Sim,0.00,--,0.00,0.11
São Francisco de Assis,RS,18081,Sim,0.30,0.94,0.40,0.01
Ourém,PA,18079,Não,0.90,--,0.54,0.08
Serafina Corrêa,RS,18074,Sim,0.15,--,0.23,0.05
Manga,MG,18051,Em elaboração,0.35,0.88,0.20,0.00
São João do Rio do Peixe,PB,18020,Sim,0.44,0.75,0.62,0.03
Abelardo Luz,SC,18015,Sim,0.30,--,0.44,0.00
Bady Bassitt,SP,18013,Sim,0.06,0.06,0.00,0.00
Rio Pomba,MG,18007,Sim,0.21,0.13,0.16,0.00
Regeneração,PI,17979,Não,0.37,--,0.44,0.00
Presidente Getúlio,SC,17973,Sim,0.16,--,0.29,0.25
Pouso Redondo,SC,17965,Sim,0.39,--,0.01,0.00
